"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Mon Nov 20 00:13:28 GMT 2023","Mon Nov 20 00:13:29 GMT 2023","752","","io.novafoundation.nova.balances.BalancesIntegrationTest","","io.novafoundation.nova.balances.BalancesIntegrationTest","testFeeLoading[Centrifuge Parachain]","testFeeLoading[Centrifuge Parachain]",""
"passed","Mon Nov 20 00:16:42 GMT 2023","Mon Nov 20 00:16:43 GMT 2023","602","","io.novafoundation.nova.balances.BalancesIntegrationTest","","io.novafoundation.nova.balances.BalancesIntegrationTest","testFeeLoading[Jur]","testFeeLoading[Jur]",""
"passed","Mon Nov 20 00:02:02 GMT 2023","Mon Nov 20 00:02:03 GMT 2023","1389","tests","test_check_new_assets","TestAssets","","","test_has_new_assets[Test for Karura]",""
"passed","Mon Nov 20 00:03:23 GMT 2023","Mon Nov 20 00:03:24 GMT 2023","380","tests","test_check_new_assets","TestAssets","","","test_has_new_assets[Test for Enjin]",""
"passed","Mon Nov 20 00:05:06 GMT 2023","Mon Nov 20 00:05:06 GMT 2023","0","tests","test_nodes_availability","","","","test_can_create_connection[Test for Composable Finance, url: wss://rpc.composable.finance]",""
"passed","Mon Nov 20 00:02:33 GMT 2023","Mon Nov 20 00:02:33 GMT 2023","0","tests","test_network_parameters","TestNetworkPrefix","","","test_address_prefix[Test for Parallel]",""
"passed","Mon Nov 20 00:16:41 GMT 2023","Mon Nov 20 00:16:41 GMT 2023","64","","io.novafoundation.nova.balances.BalancesIntegrationTest","","io.novafoundation.nova.balances.BalancesIntegrationTest","testBalancesLoading[Kusama Bridge Hub]","testBalancesLoading[Kusama Bridge Hub]",""
"broken","Mon Nov 20 00:02:41 GMT 2023","Mon Nov 20 00:02:41 GMT 2023","0","tests","test_nodes_availability","","","","test_can_create_connection[Test for Polkadot, url: wss://polkadot.api.onfinality.io/public-ws]",""
"passed","Mon Nov 20 00:02:05 GMT 2023","Mon Nov 20 00:02:06 GMT 2023","682","tests","test_check_new_assets","TestAssets","","","test_has_new_assets[Test for Kusama]",""
"passed","Mon Nov 20 00:05:22 GMT 2023","Mon Nov 20 00:05:22 GMT 2023","0","tests","test_nodes_availability","","","","test_can_create_connection[Test for Kapex, url: wss://kapex-rpc.dwellir.com]",""
"broken","Mon Nov 20 00:06:07 GMT 2023","Mon Nov 20 00:06:07 GMT 2023","0","tests","test_nodes_availability","","","","test_can_create_connection[Test for Kusama, url: wss://kusama.api.onfinality.io/public-ws]",""
"passed","Mon Nov 20 00:02:56 GMT 2023","Mon Nov 20 00:02:56 GMT 2023","0","tests","test_network_parameters","TestChainId","","","test_chainId[Test for Kapex]",""
"passed","Mon Nov 20 00:02:12 GMT 2023","Mon Nov 20 00:02:12 GMT 2023","131","tests","test_check_new_assets","TestAssets","","","test_has_new_assets[Test for QUARTZ]",""
"passed","Mon Nov 20 00:06:17 GMT 2023","Mon Nov 20 00:06:17 GMT 2023","0","tests","test_nodes_availability","","","","test_can_create_connection[Test for GIANT, url: wss://rpc-anchor-1-giant-mainnet-ue1.giantprotocol.org:443]",""
