"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","72","test_rpc_method_is_available[Test for Polkadex, url: wss://polkadex.public.curie.radiumblock.co/ws]","tests","Thu Jul 31 15:08:36 GMT 2025","passed","Thu Jul 31 15:08:36 GMT 2025","","test_rpc_methods_availability","",""
"","0","test_precision[Test for Polkadot Collectives]","tests","Thu Jul 31 15:07:58 GMT 2025","passed","Thu Jul 31 15:07:58 GMT 2025","TestPrecision","test_network_parameters","",""
"","1","test_address_prefix[Test for Kreivo]","tests","Thu Jul 31 15:08:29 GMT 2025","passed","Thu Jul 31 15:08:29 GMT 2025","TestNetworkPrefix","test_network_parameters","",""
"","0","test_precision[Test for Pendulum]","tests","Thu Jul 31 15:07:38 GMT 2025","passed","Thu Jul 31 15:07:38 GMT 2025","TestPrecision","test_network_parameters","",""
"","94","test_rpc_method_is_available[Test for Robonomics, url: wss://kusama.rpc.robonomics.network/]","tests","Thu Jul 31 15:08:39 GMT 2025","passed","Thu Jul 31 15:08:39 GMT 2025","","test_rpc_methods_availability","",""
"","0","test_can_create_connection[Test for Interlay, url: wss://api.interlay.io/parachain]","tests","Thu Jul 31 15:08:38 GMT 2025","passed","Thu Jul 31 15:08:38 GMT 2025","","test_nodes_availability","",""
"","0","test_can_create_connection[Test for XX network, url: wss://rpc-hetzner.xx.network]","tests","Thu Jul 31 15:09:05 GMT 2025","passed","Thu Jul 31 15:09:05 GMT 2025","","test_nodes_availability","",""
"","6","test_rpc_node_is_synced[Test for Bifrost Polkadot, url: wss://bifrost-polkadot.ibp.network]","tests","Thu Jul 31 15:08:41 GMT 2025","passed","Thu Jul 31 15:08:41 GMT 2025","","test_substrate_node_is_synced","",""
"","8","test_has_new_assets[Test for Argochain]","tests","Thu Jul 31 15:08:28 GMT 2025","passed","Thu Jul 31 15:08:28 GMT 2025","TestAssets","test_check_new_assets","",""
"","0","test_can_create_connection[Test for Robonomics, url: wss://kusama.rpc.robonomics.network/]","tests","Thu Jul 31 15:08:26 GMT 2025","passed","Thu Jul 31 15:08:26 GMT 2025","","test_nodes_availability","",""
"","0","test_chainId[Test for DeepBrain]","tests","Thu Jul 31 15:08:28 GMT 2025","passed","Thu Jul 31 15:08:28 GMT 2025","TestChainId","test_network_parameters","",""
"","0","test_can_create_connection[Test for peaq, url: wss://peaq-rpc.publicnode.com]","tests","Thu Jul 31 15:10:03 GMT 2025","passed","Thu Jul 31 15:10:03 GMT 2025","","test_nodes_availability","",""
"","116","test_rpc_node_is_synced[Test for Joystream, url: wss://rpc.joystream.org]","tests","Thu Jul 31 15:09:41 GMT 2025","passed","Thu Jul 31 15:09:41 GMT 2025","","test_substrate_node_is_synced","",""
"","103","test_rpc_node_is_synced[Test for Moonbeam, url: wss://moonbeam.public.blastapi.io]","tests","Thu Jul 31 15:07:27 GMT 2025","passed","Thu Jul 31 15:07:27 GMT 2025","","test_substrate_node_is_synced","",""
"","0","test_precision[Test for Robonomics]","tests","Thu Jul 31 15:07:20 GMT 2025","passed","Thu Jul 31 15:07:20 GMT 2025","TestPrecision","test_network_parameters","",""
"","0","test_precision[Test for NeuroWeb]","tests","Thu Jul 31 15:07:55 GMT 2025","passed","Thu Jul 31 15:07:55 GMT 2025","TestPrecision","test_network_parameters","",""
"","70","test_rpc_method_is_available[Test for UNIQUE, url: wss://unique.dotters.network]","tests","Thu Jul 31 15:09:37 GMT 2025","passed","Thu Jul 31 15:09:37 GMT 2025","","test_rpc_methods_availability","",""
"","0","test_can_create_connection[Test for Laos, url: wss://rpc.laos.laosfoundation.io]","tests","Thu Jul 31 15:10:04 GMT 2025","passed","Thu Jul 31 15:10:04 GMT 2025","","test_nodes_availability","",""
"","0","test_address_prefix[Test for Mythos]","tests","Thu Jul 31 15:08:28 GMT 2025","passed","Thu Jul 31 15:08:28 GMT 2025","TestNetworkPrefix","test_network_parameters","",""
"","0","test_address_prefix[Test for Acala]","tests","Thu Jul 31 15:07:20 GMT 2025","passed","Thu Jul 31 15:07:20 GMT 2025","TestNetworkPrefix","test_network_parameters","",""
"","0","test_chainId[Test for Karura]","tests","Thu Jul 31 15:07:06 GMT 2025","passed","Thu Jul 31 15:07:06 GMT 2025","TestChainId","test_network_parameters","",""
"","68","test_rpc_method_is_available[Test for Xode, url: wss://rpcnodea01.xode.net/n7yoxCmcIrCF6VziCcDmYTwL8R03a/rpc]","tests","Thu Jul 31 15:10:33 GMT 2025","passed","Thu Jul 31 15:10:33 GMT 2025","","test_rpc_methods_availability","",""
"","6","test_rpc_node_is_synced[Test for Encointer, url: wss://encointer-kusama.dotters.network]","tests","Thu Jul 31 15:08:32 GMT 2025","passed","Thu Jul 31 15:08:32 GMT 2025","","test_substrate_node_is_synced","",""
"","6","test_rpc_node_is_synced[Test for Polkadot Coretime, url: wss://sys.ibp.network/coretime-polkadot]","tests","Thu Jul 31 15:10:16 GMT 2025","passed","Thu Jul 31 15:10:16 GMT 2025","","test_substrate_node_is_synced","",""
"","9","test_rpc_node_is_synced[Test for Centrifuge Parachain, url: wss://rpc-centrifuge.luckyfriday.io]","tests","Thu Jul 31 15:08:14 GMT 2025","passed","Thu Jul 31 15:08:14 GMT 2025","","test_substrate_node_is_synced","",""
"","1","test_address_prefix[Test for Polkadot People]","tests","Thu Jul 31 15:07:39 GMT 2025","passed","Thu Jul 31 15:07:39 GMT 2025","TestNetworkPrefix","test_network_parameters","",""
"","1","test_can_create_connection[Test for Ajuna, url: wss://ajuna.dotters.network]","tests","Thu Jul 31 15:08:57 GMT 2025","passed","Thu Jul 31 15:08:57 GMT 2025","","test_nodes_availability","",""
"","95","test_rpc_method_is_available[Test for Kusama, url: wss://kusama-rpc.dwellir.com]","tests","Thu Jul 31 15:07:17 GMT 2025","passed","Thu Jul 31 15:07:17 GMT 2025","","test_rpc_methods_availability","",""
"","78","test_rpc_method_is_available[Test for Xode, url: wss://rpc-kr.xode.net]","tests","Thu Jul 31 15:10:36 GMT 2025","passed","Thu Jul 31 15:10:36 GMT 2025","","test_rpc_methods_availability","",""
"","5","test_has_new_assets[Test for peaq]","tests","Thu Jul 31 15:08:18 GMT 2025","passed","Thu Jul 31 15:08:18 GMT 2025","TestAssets","test_check_new_assets","",""
"","81","test_has_new_assets[Test for Polkadot]","tests","Thu Jul 31 15:07:00 GMT 2025","passed","Thu Jul 31 15:07:00 GMT 2025","TestAssets","test_check_new_assets","",""
